filename,date,year,month,day,issue_number,url,local_path,status,size_bytes,error
kev_20150917_34.pdf,2015-09-17,2015,9,17,34,https://koszeg.hu/pictures/koszeg/kev/kev_20150917_34.pdf,koszeg_es_videke_archive\pdf\2015\kev_20150917_34.pdf,downloaded,10448057,
kev_20151013_35.pdf,2015-10-13,2015,10,13,35,https://koszeg.hu/pictures/koszeg/kev/kev_20151013_35.pdf,koszeg_es_videke_archive\pdf\2015\kev_20151013_35.pdf,downloaded,10648072,
kev_20151117_36.pdf,2015-11-17,2015,11,17,36,https://koszeg.hu/pictures/koszeg/kev/kev_20151117_36.pdf,koszeg_es_videke_archive\pdf\2015\kev_20151117_36.pdf,downloaded,10310047,
kev_20151128_37.pdf,2015-11-28,2015,11,28,37,https://koszeg.hu/pictures/koszeg/kev/kev_20151128_37.pdf,koszeg_es_videke_archive\pdf\2015\kev_20151128_37.pdf,downloaded,7311812,
kev_20151215_38.pdf,2015-12-15,2015,12,15,38,https://koszeg.hu/pictures/koszeg/kev/kev_20151215_38.pdf,koszeg_es_videke_archive\pdf\2015\kev_20151215_38.pdf,downloaded,10323048,
kev_20160120_39.pdf,2016-01-20,2016,1,20,39,https://koszeg.hu/pictures/koszeg/kev/kev_20160120_39.pdf,koszeg_es_videke_archive\pdf\2016\kev_20160120_39.pdf,downloaded,9957974,
kev_20160216_40.pdf,2016-02-16,2016,2,16,40,https://koszeg.hu/pictures/koszeg/kev/kev_20160216_40.pdf,koszeg_es_videke_archive\pdf\2016\kev_20160216_40.pdf,downloaded,11793738,
kev_20160316_42.pdf,2016-03-16,2016,3,16,42,https://koszeg.hu/pictures/koszeg/kev/kev_20160316_42.pdf,koszeg_es_videke_archive\pdf\2016\kev_20160316_42.pdf,downloaded,11296791,
kev_20160412_43.pdf,2016-04-12,2016,4,12,43,https://koszeg.hu/pictures/koszeg/kev/kev_20160412_43.pdf,koszeg_es_videke_archive\pdf\2016\kev_20160412_43.pdf,downloaded,10675454,
kev_20160512_44.pdf,2016-05-12,2016,5,12,44,https://koszeg.hu/pictures/koszeg/kev/kev_20160512_44.pdf,koszeg_es_videke_archive\pdf\2016\kev_20160512_44.pdf,downloaded,9588478,
kev_20160615_45.pdf,2016-06-15,2016,6,15,45,https://koszeg.hu/pictures/koszeg/kev/kev_20160615_45.pdf,koszeg_es_videke_archive\pdf\2016\kev_20160615_45.pdf,downloaded,11393125,
kev_20160714_46.pdf,2016-07-14,2016,7,14,46,https://koszeg.hu/pictures/koszeg/kev/kev_20160714_46.pdf,koszeg_es_videke_archive\pdf\2016\kev_20160714_46.pdf,downloaded,10384745,
kev_20160810_47.pdf,2016-08-10,2016,8,10,47,https://koszeg.hu/pictures/koszeg/kev/kev_20160810_47.pdf,koszeg_es_videke_archive\pdf\2016\kev_20160810_47.pdf,downloaded,10543903,
kev_20160914_48.pdf,2016-09-14,2016,9,14,48,https://koszeg.hu/pictures/koszeg/kev/kev_20160914_48.pdf,koszeg_es_videke_archive\pdf\2016\kev_20160914_48.pdf,downloaded,10691942,
kev_20161018_49.pdf,2016-10-18,2016,10,18,49,https://koszeg.hu/pictures/koszeg/kev/kev_20161018_49.pdf,koszeg_es_videke_archive\pdf\2016\kev_20161018_49.pdf,downloaded,10619360,
kev_20161116_50.pdf,2016-11-16,2016,11,16,50,https://koszeg.hu/pictures/koszeg/kev/kev_20161116_50.pdf,koszeg_es_videke_archive\pdf\2016\kev_20161116_50.pdf,downloaded,9648240,
kev_20161213_51.pdf,2016-12-13,2016,12,13,51,https://koszeg.hu/pictures/koszeg/kev/kev_20161213_51.pdf,koszeg_es_videke_archive\pdf\2016\kev_20161213_51.pdf,downloaded,13249065,
kev_20170125_52.pdf,2017-01-25,2017,1,25,52,https://koszeg.hu/pictures/koszeg/kev/kev_20170125_52.pdf,koszeg_es_videke_archive\pdf\2017\kev_20170125_52.pdf,downloaded,7931206,
kev_20170214_53.pdf,2017-02-14,2017,2,14,53,https://koszeg.hu/pictures/koszeg/kev/kev_20170214_53.pdf,koszeg_es_videke_archive\pdf\2017\kev_20170214_53.pdf,downloaded,9908306,
kev_20170316_54.pdf,2017-03-16,2017,3,16,54,https://koszeg.hu/pictures/koszeg/kev/kev_20170316_54.pdf,koszeg_es_videke_archive\pdf\2017\kev_20170316_54.pdf,downloaded,9354136,
kev_20170411_55.pdf,2017-04-11,2017,4,11,55,https://koszeg.hu/pictures/koszeg/kev/kev_20170411_55.pdf,koszeg_es_videke_archive\pdf\2017\kev_20170411_55.pdf,downloaded,8160969,
kev_20170511_56.pdf,2017-05-11,2017,5,11,56,https://koszeg.hu/pictures/koszeg/kev/kev_20170511_56.pdf,koszeg_es_videke_archive\pdf\2017\kev_20170511_56.pdf,downloaded,9442158,
kev_20170615_57.pdf,2017-06-15,2017,6,15,57,https://koszeg.hu/pictures/koszeg/kev/kev_20170615_57.pdf,koszeg_es_videke_archive\pdf\2017\kev_20170615_57.pdf,downloaded,8801122,
kev_20170713_58.pdf,2017-07-13,2017,7,13,58,https://koszeg.hu/pictures/koszeg/kev/kev_20170713_58.pdf,koszeg_es_videke_archive\pdf\2017\kev_20170713_58.pdf,downloaded,8896590,
kev_20170808_59.pdf,2017-08-08,2017,8,8,59,https://koszeg.hu/pictures/koszeg/kev/kev_20170808_59.pdf,koszeg_es_videke_archive\pdf\2017\kev_20170808_59.pdf,downloaded,9225881,
kev_20170913_60.pdf,2017-09-13,2017,9,13,60,https://koszeg.hu/pictures/koszeg/kev/kev_20170913_60.pdf,koszeg_es_videke_archive\pdf\2017\kev_20170913_60.pdf,downloaded,8632355,
